0.001002 	3.92284 	-5.69576e-18 	0
0.00220441 	4.84313 	-5.56166e-18 	0
0.00340681 	5.2843 	-5.55504e-18 	0
0.00460922 	5.57454 	-5.77175e-18 	0
0.00581162 	5.79009 	-5.96791e-18 	0
0.00701403 	5.96078 	-6.08029e-18 	0
0.00821643 	6.10134 	-6.13508e-18 	0
0.00941884 	6.22006 	-6.15837e-18 	0
0.0106212 	6.32205 	-6.32531e-18 	0
0.0118236 	6.41059 	-6.09694e-18 	0
0.0130261 	6.48792 	-5.87743e-18 	0
0.0142285 	6.55553 	-5.65668e-18 	0
0.0154309 	6.6145 	-5.62543e-18 	0
0.0166333 	6.66555 	-5.13684e-18 	0
0.0178357 	6.70916 	-4.81762e-18 	0
0.0190381 	6.74567 	-4.58153e-18 	0
0.0202405 	6.7753 	-4.11856e-18 	0
0.0214429 	6.79818 	-3.51399e-18 	0
0.0226453 	6.8144 	-2.56394e-18 	0
0.0238477 	6.82401 	-2.27062e-18 	0
0.0250501 	6.82703 	-1.92213e-18 	0
0.0262525 	6.82346 	-1.04496e-18 	0
0.0274549 	6.8133 	-1.57686e-19 	0
0.0286573 	6.79653 	3.08109e-19 	0
0.0298597 	6.77308 	7.49246e-19 	0
0.0310621 	6.74289 	1.20084e-18 	0
0.0322645 	6.7058 	1.09218e-18 	0
0.0334669 	6.66158 	9.49837e-19 	0
0.0346693 	6.6099 	8.1544e-19 	0
0.0358717 	6.55024 	6.90005e-19 	0
0.0370741 	6.48186 	5.76323e-19 	0
0.0382766 	6.40366 	4.72941e-19 	0
0.039479 	6.31409 	3.79065e-19 	0
0.0406814 	6.21087 	2.94888e-19 	0
0.0418838 	6.09055 	2.20982e-19 	0
0.0430862 	5.94786 	1.57768e-19 	0
0.0442886 	5.77412 	1.05376e-19 	0
0.045491 	5.5538 	6.37247e-20 	0
0.0466934 	5.25501 	3.25897e-20 	0
0.0478958 	4.79393 	1.15346e-20 	0
0.0490982 	3.77988 	-1.70136e-23 	0
