0.0003003 	3.90138 	-6.62838e-18 	0
0.000900901 	6.18411 	-6.60194e-18 	0
0.0015015 	6.9842 	-6.77571e-18 	0
0.0021021 	7.4681 	-6.89759e-18 	0
0.0027027 	7.81511 	-6.88636e-18 	0
0.0033033 	8.08576 	-6.68498e-18 	0
0.0039039 	8.30768 	-6.51285e-18 	0
0.0045045 	8.49577 	-6.36787e-18 	0
0.00510511 	8.65897 	-6.22761e-18 	0
0.00570571 	8.80306 	-6.01541e-18 	0
0.00630631 	8.93196 	-6.01275e-18 	0
0.00690691 	9.04848 	-5.86303e-18 	0
0.00750751 	9.15469 	-5.84411e-18 	0
0.00810811 	9.25214 	-5.64023e-18 	0
0.00870871 	9.34202 	-5.04533e-18 	0
0.00930931 	9.4253 	-4.59125e-18 	0
0.00990991 	9.50272 	-4.10639e-18 	0
0.0105105 	9.57489 	-3.46929e-18 	0
0.0111111 	9.64232 	-3.02476e-18 	0
0.0117117 	9.70543 	-2.60408e-18 	0
0.0123123 	9.76454 	-2.11996e-18 	0
0.0129129 	9.81997 	-1.33529e-18 	0
0.0135135 	9.87196 	-8.37528e-19 	0
0.0141141 	9.9207 	-3.75965e-19 	0
0.0147147 	9.96639 	3.6063e-20 	0
0.0153153 	10.0091 	4.97983e-19 	0
0.0159159 	10.0491 	8.69352e-19 	0
0.0165165 	10.0865 	7.44532e-19 	0
0.0171171 	10.1212 	6.16821e-19 	0
0.0177177 	10.1533 	5.02429e-19 	0
0.0183183 	10.1831 	4.05675e-19 	0
0.0189189 	10.2103 	3.24293e-19 	0
0.0195195 	10.2352 	2.565e-19 	0
0.0201201 	10.2576 	2.00271e-19 	0
0.0207207 	10.2777 	1.53128e-19 	0
0.0213213 	10.2952 	1.13338e-19 	0
0.0219219 	10.3102 	8.00748e-20 	0
0.0225225 	10.3227 	5.20235e-20 	0
0.0231231 	10.3326 	2.812e-20 	0
0.0237237 	10.3397 	7.95067e-21 	0
0.0243243 	10.3442 	-8.83572e-21 	0
0.0249249 	10.3459 	-2.24688e-20 	0
0.0255255 	10.3449 	-3.30342e-20 	0
0.0261261 	10.3411 	-4.05295e-20 	0
0.0267267 	10.3346 	-4.48544e-20 	0
0.0273273 	10.3254 	-4.61916e-20 	0
0.0279279 	10.3135 	-4.51522e-20 	0
0.0285285 	10.2992 	-4.21548e-20 	0
0.0291291 	10.2823 	-3.6976e-20 	0
0.0297297 	10.2628 	-2.54181e-20 	0
0.0303303 	10.241 	5.41888e-21 	0
0.0309309 	10.2168 	4.77899e-20 	0
0.0315315 	10.1901 	-6.9702e-20 	0
0.0321321 	10.161 	-2.49354e-19 	0
0.0327327 	10.1295 	-2.6684e-19 	0
0.0333333 	10.0954 	-2.38003e-19 	0
0.0339339 	10.0587 	-2.02708e-19 	0
0.0345345 	10.0195 	-1.52909e-19 	0
0.0351351 	9.97735 	-5.81415e-20 	0
0.0357357 	9.93241 	-5.62505e-20 	0
0.0363363 	9.88444 	-2.60854e-20 	0
0.0369369 	9.83328 	-6.47117e-20 	0
0.0375375 	9.77873 	-9.95154e-20 	0
0.0381381 	9.72056 	-2.76071e-19 	0
0.0387387 	9.65849 	-4.19465e-19 	0
0.0393393 	9.59217 	-5.14471e-19 	0
0.0399399 	9.52123 	-5.23251e-19 	0
0.0405405 	9.44518 	-5.2929e-19 	0
0.0411411 	9.36343 	-5.19383e-19 	0
0.0417417 	9.27528 	-5.68745e-19 	0
0.0423423 	9.17982 	-4.9343e-19 	0
0.0429429 	9.07594 	-3.4096e-19 	0
0.0435435 	8.96216 	-4.35893e-19 	0
0.0441441 	8.83658 	-5.26338e-19 	0
0.0447447 	8.69661 	-5.03563e-19 	0
0.0453453 	8.53864 	-3.94315e-19 	0
0.0459459 	8.35745 	-3.1884e-19 	0
0.0465465 	8.14508 	-2.54764e-19 	0
0.0471471 	7.88853 	-1.81576e-19 	0
0.0477477 	7.5644 	-1.45524e-19 	0
0.0483483 	7.12398 	-2.32206e-19 	0
0.0489489 	6.43626 	-1.10553e-19 	0
0.0495495 	4.86846 	-5.1319e-20 	0
